,RunTime,VRDate,AVDate,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent,,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent,,P&L,MaxDrawdown,TradeNumbers,TradeWinPercent,,,
0,14:30:00,4,4,6.68%,-12.5%,9,44.44%,,11.95%,-5.29%,8,50.00%,,16.52%,-13.31%,14,50.00%,,11.60%,-12.91%
1,14:30:00,4,7,8.58%,-12.5%,9,44.44%,,8.98%,-7.58%,11,36.36%,,19.05%,-13.31%,14,50.00%,,13.82%,-12.91%
2,14:30:00,4,10,7.78%,-13.2%,8,37.50%,,9.66%,-7.00%,10,40.00%,,25.00%,-10.99%,13,53.85%,,16.39%,-12.08%
3,14:30:00,4,13,7.78%,-13.2%,8,37.50%,,9.66%,-7.00%,10,40.00%,,19.05%,-13.31%,14,50.00%,,13.42%,-13.24%
4,14:30:00,4,16,8.58%,-12.5%,9,44.44%,,9.69%,-6.98%,10,40.00%,,14.20%,-13.96%,13,46.15%,,11.39%,-13.24%
5,14:30:00,4,19,8.58%,-12.5%,9,44.44%,,9.07%,-6.82%,10,40.00%,,13.39%,-14.57%,14,42.86%,,10.99%,-13.55%
6,14:30:00,4,22,8.58%,-12.5%,9,44.44%,,9.66%,-7.00%,10,40.00%,,13.39%,-14.57%,14,42.86%,,10.99%,-13.55%
7,14:30:00,4,25,8.58%,-12.5%,9,44.44%,,9.66%,-7.00%,10,40.00%,,19.05%,-13.31%,14,50.00%,,13.82%,-12.91%
8,14:30:00,4,28,8.58%,-12.5%,9,44.44%,,9.66%,-7.00%,10,40.00%,,19.05%,-13.31%,14,50.00%,,13.82%,-12.91%
9,14:30:00,7,4,0.17%,-11.7%,9,33.33%,,10.19%,-4.35%,8,37.50%,,2.25%,-13.79%,13,53.85%,,1.21%,-12.72%
10,14:30:00,7,7,0.55%,-11.3%,8,37.50%,,9.63%,-4.92%,5,60.00%,,-1.82%,-16.88%,12,50.00%,,-0.64%,-14.10%
11,14:30:00,7,10,0.55%,-11.3%,8,37.50%,,4.61%,-9.28%,5,60.00%,,-0.89%,-16.09%,12,58.33%,,-0.17%,-13.71%
12,14:30:00,7,13,-0.16%,-12.0%,8,37.50%,,4.25%,-9.59%,6,50.00%,,-0.89%,-16.09%,12,58.33%,,-0.53%,-14.02%
13,14:30:00,7,16,-0.16%,-12.0%,8,37.50%,,4.01%,-9.79%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.19%,-14.08%
14,14:30:00,7,19,-0.16%,-12.0%,8,37.50%,,4.01%,-9.79%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.19%,-14.08%
15,14:30:00,7,22,-0.16%,-12.0%,8,37.50%,,3.69%,-10.08%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.19%,-14.08%
16,14:30:00,7,25,-0.43%,-12.2%,9,33.33%,,3.69%,-10.08%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.32%,-14.20%
17,14:30:00,7,28,-0.43%,-12.2%,9,33.33%,,3.69%,-10.08%,7,57.14%,,-0.21%,-16.22%,12,58.33%,,-0.32%,-14.20%
18,14:30:00,10,4,0.35%,-10.3%,8,50.00%,,11.58%,-3.72%,9,55.56%,,23.09%,-7.66%,9,66.67%,,11.72%,-8.98%
19,14:30:00,10,7,2.61%,-10.6%,7,57.14%,,8.98%,-5.49%,7,57.14%,,19.19%,-8.65%,8,62.50%,,10.90%,-9.63%
20,14:30:00,10,10,0.88%,-12.1%,7,57.14%,,3.92%,-9.88%,7,57.14%,,17.51%,-7.94%,7,85.71%,,9.20%,-10.03%
21,14:30:00,10,13,-0.78%,-11.3%,7,57.14%,,5.98%,-9.70%,7,57.14%,,27.20%,-7.68%,8,75.00%,,13.21%,-9.49%
22,14:30:00,10,16,1.92%,-8.9%,6,66.67%,,9.67%,-6.94%,6,66.67%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
23,14:30:00,10,19,1.92%,-8.9%,6,66.67%,,9.05%,-7.07%,5,60.00%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
24,14:30:00,10,22,1.92%,-8.9%,6,66.67%,,9.64%,-6.94%,6,66.67%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
25,14:30:00,10,25,1.92%,-8.9%,6,66.67%,,9.64%,-6.94%,6,66.67%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
26,14:30:00,10,28,1.92%,-8.9%,6,66.67%,,9.64%,-6.94%,6,66.67%,,28.54%,-7.68%,7,85.71%,,15.23%,-8.28%
27,14:30:00,13,4,-0.92%,-13.3%,8,37.50%,,11.70%,-2.89%,11,54.55%,,25.55%,-8.17%,7,57.14%,,12.32%,-10.72%
28,14:30:00,13,7,1.58%,-12.5%,7,42.86%,,11.93%,-2.93%,9,55.56%,,21.58%,-8.92%,5,40.00%,,11.58%,-10.72%
29,14:30:00,13,10,-0.14%,-14.0%,7,42.86%,,5.68%,-8.35%,8,50.00%,,19.86%,-7.94%,4,75.00%,,9.86%,-10.97%
30,14:30:00,13,13,-1.79%,-15.4%,7,42.86%,,6.13%,-9.49%,9,44.44%,,29.84%,-11.40%,4,75.00%,,14.03%,-13.41%
31,14:30:00,13,16,0.89%,-13.1%,6,50.00%,,6.52%,-9.15%,11,45.45%,,31.21%,-11.40%,3,100.00%,,16.05%,-12.26%
32,14:30:00,13,19,0.89%,-13.1%,6,50.00%,,9.11%,-6.94%,10,40.00%,,31.21%,-11.40%,3,100.00%,,16.05%,-12.26%
33,14:30:00,13,22,0.83%,-13.1%,7,42.86%,,8.77%,-7.23%,10,40.00%,,31.21%,-11.40%,3,100.00%,,16.02%,-12.26%
34,14:30:00,13,25,0.89%,-13.1%,6,50.00%,,8.77%,-7.23%,10,40.00%,,31.21%,-11.40%,3,100.00%,,16.05%,-12.26%
35,14:30:00,13,28,0.89%,-13.1%,6,50.00%,,8.77%,-7.23%,10,40.00%,,31.21%,-11.40%,3,100.00%,,16.05%,-12.26%
36,14:30:00,16,4,0.18%,-10.1%,12,58.33%,,6.50%,-7.41%,9,33.33%,,25.70%,-8.17%,9,55.56%,,12.94%,-9.14%
37,14:30:00,16,7,0.19%,-11.1%,10,50.00%,,9.41%,-5.12%,7,42.86%,,22.95%,-8.92%,5,60.00%,,11.57%,-10.02%
38,14:30:00,16,10,-0.86%,-12.1%,9,44.44%,,3.77%,-10.67%,7,57.14%,,21.21%,-7.54%,4,75.00%,,10.18%,-9.80%
39,14:30:00,16,13,-4.14%,-14.3%,9,44.44%,,8.28%,-7.65%,8,50.00%,,31.31%,-11.40%,5,80.00%,,13.59%,-12.87%
40,14:30:00,16,16,-2.02%,-12.4%,10,50.00%,,4.59%,-10.79%,9,44.44%,,31.37%,-11.40%,5,80.00%,,14.68%,-11.92%
41,14:30:00,16,19,-2.02%,-12.4%,10,50.00%,,7.13%,-8.63%,8,50.00%,,31.37%,-11.40%,5,80.00%,,14.68%,-11.92%
42,14:30:00,16,22,-2.72%,-13.1%,10,50.00%,,8.66%,-7.53%,8,50.00%,,31.37%,-11.40%,5,80.00%,,14.33%,-12.23%
43,14:30:00,16,25,2.05%,-11.0%,9,55.56%,,8.37%,-7.78%,8,50.00%,,31.37%,-11.40%,5,80.00%,,16.71%,-11.22%
44,14:30:00,16,28,2.05%,-11.0%,9,55.56%,,8.37%,-7.78%,8,50.00%,,31.37%,-11.40%,5,80.00%,,16.71%,-11.22%
45,14:30:00,19,4,11.22%,-8.1%,5,60.00%,,11.23%,-4.73%,8,50.00%,,17.86%,-11.31%,7,42.86%,,14.54%,-9.71%
46,14:30:00,19,7,8.52%,-10.6%,4,50.00%,,11.97%,-4.67%,5,60.00%,,21.58%,-8.92%,5,40.00%,,15.05%,-9.77%
47,14:30:00,19,10,6.69%,-12.1%,4,50.00%,,5.72%,-9.99%,5,60.00%,,19.86%,-7.94%,4,75.00%,,13.28%,-10.03%
48,14:30:00,19,13,4.93%,-12.4%,4,50.00%,,10.32%,-6.47%,6,50.00%,,21.89%,-12.58%,4,75.00%,,13.41%,-12.49%
49,14:30:00,19,16,7.78%,-10.0%,3,66.67%,,7.51%,-8.86%,5,60.00%,,23.17%,-12.58%,3,100.00%,,15.48%,-11.30%
50,14:30:00,19,19,7.78%,-10.0%,3,66.67%,,10.12%,-6.94%,4,75.00%,,28.27%,-11.52%,3,100.00%,,18.03%,-10.77%
51,14:30:00,19,22,7.72%,-10.0%,4,50.00%,,11.65%,-6.94%,5,60.00%,,28.27%,-11.52%,3,100.00%,,18.00%,-10.77%
52,14:30:00,19,25,12.77%,-8.9%,4,50.00%,,11.35%,-7.16%,5,60.00%,,28.27%,-11.52%,3,100.00%,,20.52%,-10.19%
53,14:30:00,19,28,12.77%,-8.9%,4,50.00%,,14.92%,-7.16%,4,75.00%,,28.27%,-11.52%,3,100.00%,,20.52%,-10.19%
54,14:30:00,22,4,14.20%,-8.1%,5,60.00%,,14.53%,-4.73%,7,42.86%,,2.45%,-14.58%,9,44.44%,,8.33%,-11.35%
55,14:30:00,22,7,8.52%,-10.6%,4,50.00%,,12.17%,-4.78%,5,60.00%,,4.60%,-10.83%,7,28.57%,,6.56%,-10.72%
56,14:30:00,22,10,4.85%,-12.5%,4,50.00%,,5.90%,-10.10%,5,60.00%,,3.85%,-11.47%,5,40.00%,,4.35%,-11.97%
57,14:30:00,22,13,5.41%,-12.0%,4,25.00%,,12.61%,-6.58%,4,75.00%,,5.61%,-14.61%,5,60.00%,,5.51%,-13.30%
58,14:30:00,22,16,8.28%,-9.6%,3,33.33%,,9.73%,-8.96%,4,75.00%,,5.65%,-15.47%,5,60.00%,,6.97%,-12.53%
59,14:30:00,22,19,8.28%,-9.6%,3,33.33%,,11.76%,-6.94%,3,100.00%,,11.50%,-11.52%,4,75.00%,,9.89%,-10.56%
60,14:30:00,22,22,7.51%,-10.2%,3,33.33%,,12.36%,-6.94%,3,100.00%,,11.50%,-11.52%,4,75.00%,,9.51%,-10.88%
61,14:30:00,22,25,12.78%,-9.1%,2,50.00%,,12.06%,-7.16%,3,100.00%,,11.50%,-11.52%,4,75.00%,,12.14%,-10.29%
62,14:30:00,22,28,12.78%,-9.1%,2,50.00%,,15.65%,-7.16%,2,100.00%,,11.50%,-11.52%,4,75.00%,,12.14%,-10.29%
63,14:30:00,25,4,15.54%,-8.1%,4,75.00%,,14.72%,-4.73%,6,50.00%,,0.75%,-17.57%,8,37.50%,,8.15%,-12.84%
64,14:30:00,25,7,9.79%,-10.6%,3,66.67%,,10.19%,-4.78%,5,60.00%,,2.87%,-13.95%,6,33.33%,,6.33%,-12.28%
65,14:30:00,25,10,6.08%,-12.1%,3,66.67%,,4.03%,-10.10%,5,60.00%,,7.90%,-9.74%,4,50.00%,,6.99%,-10.93%
66,14:30:00,25,13,6.65%,-11.3%,3,33.33%,,10.62%,-6.58%,4,75.00%,,9.73%,-12.94%,4,75.00%,,8.19%,-12.10%
67,14:30:00,25,16,9.55%,-8.8%,2,50.00%,,7.80%,-8.96%,4,75.00%,,9.77%,-13.82%,4,75.00%,,9.66%,-11.33%
68,14:30:00,25,19,8.30%,-9.6%,2,50.00%,,9.79%,-6.94%,3,100.00%,,9.65%,-13.91%,3,100.00%,,8.98%,-11.75%
69,14:30:00,25,22,8.77%,-9.5%,2,50.00%,,10.38%,-6.94%,3,100.00%,,9.65%,-13.91%,3,100.00%,,9.21%,-11.70%
70,14:30:00,25,25,14.11%,-9.1%,1,100.00%,,10.09%,-7.16%,3,100.00%,,9.65%,-13.91%,3,100.00%,,11.88%,-11.48%
71,14:30:00,25,28,12.80%,-9.1%,1,100.00%,,13.61%,-7.16%,2,100.00%,,9.65%,-13.91%,3,100.00%,,11.23%,-11.48%
72,14:30:00,28,4,12.40%,-8.1%,7,71.43%,,12.32%,-4.73%,6,50.00%,,0.75%,-17.57%,8,37.50%,,6.58%,-12.84%
73,14:30:00,28,7,6.80%,-10.6%,6,66.67%,,11.47%,-4.78%,4,75.00%,,2.87%,-13.95%,6,33.33%,,4.84%,-12.28%
74,14:30:00,28,10,5.00%,-12.1%,6,66.67%,,5.17%,-10.10%,4,75.00%,,7.90%,-9.74%,4,50.00%,,6.45%,-10.93%
75,14:30:00,28,13,5.57%,-11.3%,7,57.14%,,9.75%,-6.58%,4,50.00%,,9.73%,-12.94%,4,75.00%,,7.65%,-12.10%
76,14:30:00,28,16,8.44%,-8.8%,6,66.67%,,6.95%,-8.96%,4,50.00%,,9.77%,-13.82%,4,75.00%,,9.11%,-11.33%
77,14:30:00,28,19,7.20%,-8.9%,6,66.67%,,8.93%,-7.09%,3,66.67%,,9.65%,-13.91%,3,100.00%,,8.43%,-11.38%
78,14:30:00,28,22,7.61%,-9.5%,7,57.14%,,9.51%,-6.94%,3,66.67%,,9.65%,-13.91%,3,100.00%,,8.63%,-11.70%
79,14:30:00,28,25,12.95%,-9.1%,5,60.00%,,9.22%,-7.16%,3,66.67%,,9.65%,-13.91%,3,100.00%,,11.30%,-11.48%
80,14:30:00,28,28,11.66%,-9.1%,5,60.00%,,12.72%,-7.16%,2,100.00%,,9.65%,-13.91%,3,100.00%,,10.66%,-11.48%
